form	lemma	POS	morph
༄༅། །		PUNCT
སོ་སོ་	སོ་སོ་	PRON
ར་	ལ་	PART
ཐར་པ་	ཐར་པ་	VERB
འི་	གི་	PART
མདོ་	མདོ་	NOUN
འི་	གི་	PART
ལེགས་བཤད་	ལེགས་བཤད་	NOUN
།		PUNCT
འདུལ་བ་	འདུལ་བ་	VERB
འི་	གི་	PART
སྡེ་སྣོད་	སྡེ་སྣོད་	NOUN
མཛེས་པ་	མཛེས་པ་	VERB
ར་	ལ་	PART
བྱེད་པ་	བྱེད་པ་	VERB
འི་	གི་	PART
རྒྱན་	རྒྱན་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་པ་	བཞུགས་པ་	VERB
ལེགས་	ལེགས་	VERB
སོ་	གོ་	PART
།།		PUNCT
ལེགས་པ་	ལེགས་པ་	VERB
འི་	གི་	PART
ལམ་	གམ་	PART
ཐོག་མ་	ཐོག་མ་	NOUN
བ་	བ་	NOUN
དང་	དང་	NO_POS
ཐ་མ་	ཐ་མ་	ADJ
ར་	ལ་	PART
དགེ་བ་	དགེ་བ་	VERB
སྟོན་པ་	སྟོན་པ་	NOUN
ར་	ལ་	PART
མཛད་པ་	མཛད་པ་	VERB
འི་	གི་	PART
ཐམས་ཅད་	ཐམས་ཅད་	DET
མཁྱེན་པ་	མཁྱེན་པ་	VERB
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
མངའ་བ་	མངའ་བ་	VERB
སྲ་	སྲ་	NOUN
དང་	དང་	NO_POS
སློབ་མ་	སློབ་མ་	NOUN
ར་	ལ་	PART
བཅས་པ་	བཅས་པ་	VERB
ཐམས་ཅད་	ཐམས་ཅད་	DET
ལ་	ལ་	PART
གུས་པ་	གུས་པ་	VERB
ས་	གིས་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	གོ་	PART
། །		PUNCT
སྟོབས་	སྟོབས་	NOUN
བཅུ་	བཅུ་	NUM
ཏིང་འཛིན་	ཏིང་འཛིན་	NOUN
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
མཆེ་བ་	མཆེ་བ་	NOUN
ཅན་	ཅན་	PART
། །		PUNCT
གང་	གང་	NO_POS
གིས་	གིས་	PART
སྐྱེ་བ་	སྐྱེ་བ་	VERB
འི་	གི་	PART
རང་བཞིན་	རང་བཞིན་	NOUN
གཟེབ་	གཟེབ་	NOUN
